,pretrain,outcome,data_type,val_auroc,test_auroc_mean,test_auroc_ci,test_auprc_mean,test_auprc_ci
0,crc,OS,mut,0.3758130618720253,0.4757663628831814,0.43340675720705857-0.5181259685593043,0.468946164814876,0.426618591669851-0.5112737379599012
0,crc,OS,act,0.7286964569011106,0.4995857497928749,0.4571763178640752-0.5419951817216746,0.5524456865899766,0.5102701839696007-0.5946211892103526
0,crc,PFS,comb,0.6970386039132734,0.5480186480186481,0.5048635500925515-0.5911737459447447,0.5942001422672099,0.5516210400121317-0.636779244522288
0,crc,PFS,act,0.7286964569011106,0.51002331002331,0.46667652399402065-0.5533700960525995,0.5695632313049437,0.5266293814305064-0.612497081179381
0,crc,OS,comb,0.696041776837652,0.4421085335542667,0.3999843100925804-0.48423275701595314,0.4589247090829195,0.4166586095598663-0.5011908086059728
0,crc,PFS,mut,0.3749933897408778,0.586013986013986,0.5433048284840465-0.6287231435439256,0.6399807627023332,0.5983589976765777-0.6816025277280886
0,total,OS,mut,0.4308992347842277,0.4940969345484672,0.45169044378202583-0.5365034253149087,0.5478197730762153,0.5056047301282296-0.590034816024201
0,total,PFS,mut,0.430533789103214,0.5727272727272728,0.5298328627823428-0.6156216826722027,0.6880357724798721,0.6478629738920818-0.7282085710676625
0,total,PFS,comb,0.6763733912962524,0.5055944055944056,0.46224162102963817-0.548947190159173,0.5806813288564394,0.5378939964631009-0.623468661249778
0,total,OS,comb,0.6732227504457517,0.4674813587406794,0.42516170006317827-0.5098010174181806,0.4696264760723905,0.427295351662055-0.511957600482726
0,total,PFS,act,0.7108957740093784,0.503962703962704,0.4606085671326335-0.5473168407927747,0.3775091083012188,0.3354747523696987-0.419543464232739
0,total,OS,act,0.7081307970508531,0.46830985915492956,0.4259856790349448-0.5106340392749144,0.32880661689999935,0.2889604355313881-0.3686527982686106
